,type,ccAgentID,ccDeviceID,datetime,date,time,hour
33,a,vlasovaoza,vlasovaoza,2022-05-03 12:06:00+03:00,2022-05-03,12:06:29,12
34,a,kostinaoz,kostinaoz,2022-05-12 10:11:00+03:00,2022-05-12,10:11:12,10
35,a,kostinaoz,kostinaoz,2022-05-16 13:25:00+03:00,2022-05-16,13:25:28,13
36,a,vlasovaoza,vlasovaoza,2022-04-29 19:39:00+03:00,2022-04-29,19:39:11,19
37,a,abdulaevoz,abdulaevoz,2022-05-08 10:13:00+03:00,2022-05-08,10:13:29,10
38,a,vlasovaoza,vlasovaoza,2022-05-08 11:21:00+03:00,2022-05-08,11:21:02,11
39,a,kostinaoz,kostinaoz,2022-04-30 10:03:00+03:00,2022-04-30,10:02:38,10
40,a,Elena_OP1,Elena_OP1,2022-05-18 10:06:00+03:00,2022-05-18,10:05:39,10
41,a,kostinaoz,kostinaoz,2022-05-13 09:16:00+03:00,2022-05-13,09:16:02,9
42,a,kostinaoz,kostinaoz,2022-05-07 11:40:00+03:00,2022-05-07,11:39:35,11
43,a,vlasovaoza,vlasovaoza,2022-05-07 14:08:00+03:00,2022-05-07,14:08:10,14
44,a,Elena_OP1,Elena_OP1,2022-04-29 15:24:00+03:00,2022-04-29,15:24:18,15
45,a,harsheva,harsheva,2022-05-06 14:02:00+03:00,2022-05-06,14:01:43,14
46,a,harsheva,harsheva,2022-04-28 15:49:00+03:00,2022-04-28,15:48:38,15
47,a,abdulaevoz,abdulaevoz,2022-05-08 09:02:00+03:00,2022-05-08,09:02:27,9
48,a,harsheva,harsheva,2022-04-27 17:03:00+03:00,2022-04-27,17:02:48,17
49,a,harsheva,harsheva,2022-04-27 12:50:00+03:00,2022-04-27,12:49:45,12
50,a,abdulaevoz,abdulaevoz,2022-05-07 15:10:00+03:00,2022-05-07,15:09:30,15
51,a,harsheva,harsheva,2022-05-17 11:36:00+03:00,2022-05-17,11:36:18,11
52,a,vlasovaoza,vlasovaoza,2022-05-12 10:25:00+03:00,2022-05-12,10:25:05,10
53,a,vlasovaoza,vlasovaoza,2022-05-03 10:16:00+03:00,2022-05-03,10:16:27,10
54,a,abdulaevoz,abdulaevoz,2022-04-29 16:19:00+03:00,2022-04-29,16:18:55,16
55,a,harsheva,harsheva,2022-04-28 19:00:00+03:00,2022-04-28,18:59:52,18
56,a,hubbatova,hubbatova,2022-05-07 06:38:00+03:00,2022-05-07,06:38:19,6
57,a,kostinaoz,kostinaoz,2022-04-29 19:54:00+03:00,2022-04-29,19:54:26,19
58,a,vlasovaoza,vlasovaoza,2022-05-08 17:52:00+03:00,2022-05-08,17:52:04,17
59,a,kostinaoz,kostinaoz,2022-05-07 12:15:00+03:00,2022-05-07,12:15:16,12
60,a,harsheva,harsheva,2022-04-28 18:28:00+03:00,2022-04-28,18:28:11,18
61,a,vlasovaoza,vlasovaoza,2022-05-07 09:04:00+03:00,2022-05-07,09:03:39,9
62,a,harsheva,harsheva,2022-04-28 13:55:00+03:00,2022-04-28,13:55:12,13
63,a,kostinaoz,kostinaoz,2022-05-03 20:09:00+03:00,2022-05-03,20:09:12,20
64,a,harsheva,harsheva,2022-05-02 09:17:00+03:00,2022-05-02,09:17:17,9
65,a,harsheva,harsheva,2022-05-06 19:08:00+03:00,2022-05-06,19:08:16,19
66,a,abdulaevoz,abdulaevoz,2022-05-05 15:50:00+03:00,2022-05-05,15:49:33,15
67,a,kostinaoz,kostinaoz,2022-05-11 18:24:00+03:00,2022-05-11,18:23:43,18
68,a,Rus,Rus,2022-05-05 14:18:00+03:00,2022-05-05,14:17:43,14
69,a,abdulaevoz,abdulaevoz,2022-04-28 11:30:00+03:00,2022-04-28,11:29:43,11
70,a,harsheva,harsheva,2022-05-06 13:01:00+03:00,2022-05-06,13:00:46,13
71,a,kostinaoz,kostinaoz,2022-05-07 09:50:00+03:00,2022-05-07,09:50:14,9
72,a,kostinaoz,kostinaoz,2022-05-04 19:44:00+03:00,2022-05-04,19:44:17,19
73,a,kostinaoz,kostinaoz,2022-05-03 20:57:00+03:00,2022-05-03,20:56:35,20
74,a,vlasovaoza,vlasovaoza,2022-05-04 15:54:00+03:00,2022-05-04,15:54:03,15
75,a,kostinaoz,kostinaoz,2022-04-28 20:40:00+03:00,2022-04-28,20:40:05,20
76,a,kostinaoz,kostinaoz,2022-05-06 14:09:00+03:00,2022-05-06,14:09:12,14
77,a,kostinaoz,kostinaoz,2022-05-04 19:00:00+03:00,2022-05-04,19:00:03,19
78,a,kostinaoz,kostinaoz,2022-04-29 17:31:00+03:00,2022-04-29,17:31:10,17
79,a,kostinaoz,kostinaoz,2022-04-27 16:53:00+03:00,2022-04-27,16:52:54,16
80,a,kostinaoz,kostinaoz,2022-05-04 20:29:00+03:00,2022-05-04,20:28:36,20
81,a,Elena_OP1,Elena_OP1,2022-05-17 12:02:00+03:00,2022-05-17,12:02:27,12
82,a,kostinaoz,kostinaoz,2022-05-03 19:14:00+03:00,2022-05-03,19:13:55,19
83,a,abdulaevoz,abdulaevoz,2022-04-27 10:14:00+03:00,2022-04-27,10:14:23,10
84,a,abdulaevoz,abdulaevoz,2022-05-11 13:10:00+03:00,2022-05-11,13:09:44,13
85,a,kostinaoz,kostinaoz,2022-04-30 20:10:00+03:00,2022-04-30,20:10:06,20
86,a,vekshina_v,vekshina_v,2022-05-17 13:06:00+03:00,2022-05-17,13:05:35,13
87,a,kostinaoz,kostinaoz,2022-05-13 14:57:00+03:00,2022-05-13,14:56:46,14
88,a,kostinaoz,kostinaoz,2022-05-04 19:42:00+03:00,2022-05-04,19:41:36,19
89,a,harsheva,harsheva,2022-05-01 15:44:00+03:00,2022-05-01,15:44:00,15
90,a,kostinaoz,kostinaoz,2022-04-29 17:56:00+03:00,2022-04-29,17:55:49,17
91,a,kostinaoz,kostinaoz,2022-05-17 10:03:00+03:00,2022-05-17,10:02:59,10
92,a,kostinaoz,kostinaoz,2022-05-07 09:02:00+03:00,2022-05-07,09:02:22,9
93,a,kostinaoz,kostinaoz,2022-04-28 20:04:00+03:00,2022-04-28,20:03:41,20
94,a,harsheva,harsheva,2022-04-27 16:44:00+03:00,2022-04-27,16:43:40,16
95,a,kostinaoz,kostinaoz,2022-05-06 12:21:00+03:00,2022-05-06,12:21:14,12
96,a,vlasovaoza,vlasovaoza,2022-04-30 10:07:00+03:00,2022-04-30,10:07:03,10
97,a,vlasovaoza,vlasovaoza,2022-05-03 12:21:00+03:00,2022-05-03,12:20:59,12
98,a,vlasovaoza,vlasovaoza,2022-04-29 18:19:00+03:00,2022-04-29,18:19:20,18
99,a,abdulaevoz,abdulaevoz,2022-05-07 13:08:00+03:00,2022-05-07,13:08:27,13
100,a,harsheva,harsheva,2022-05-17 11:03:00+03:00,2022-05-17,11:02:36,11
101,a,mas,mas,2022-05-05 16:52:00+03:00,2022-05-05,16:52:00,16
102,a,harsheva,harsheva,2022-04-28 12:23:00+03:00,2022-04-28,12:22:59,12
103,a,esina_ey,esina_ey,2022-05-18 11:24:00+03:00,2022-05-18,11:24:08,11
104,a,Rus,Rus,2022-05-05 11:02:00+03:00,2022-05-05,11:02:26,11
105,a,esina_ey,esina_ey,2022-05-06 13:31:00+03:00,2022-05-06,13:30:38,13
106,a,harsheva,harsheva,2022-05-01 20:31:00+03:00,2022-05-01,20:31:07,20
107,a,harsheva,harsheva,2022-04-28 15:43:00+03:00,2022-04-28,15:43:06,15
108,a,Rus,Rus,2022-05-04 14:06:00+03:00,2022-05-04,14:05:54,14
109,a,harsheva,harsheva,2022-05-05 13:43:00+03:00,2022-05-05,13:43:22,13
110,a,vlasovaoza,vlasovaoza,2022-05-03 16:57:00+03:00,2022-05-03,16:57:04,16
111,a,abdulaevoz,abdulaevoz,2022-05-12 10:10:00+03:00,2022-05-12,10:09:35,10
112,a,harsheva,harsheva,2022-05-17 11:54:00+03:00,2022-05-17,11:53:35,11
113,a,abdulaevoz,abdulaevoz,2022-05-14 16:51:00+03:00,2022-05-14,16:51:15,16
114,a,vlasovaoza,vlasovaoza,2022-05-04 14:51:00+03:00,2022-05-04,14:51:12,14
115,a,harsheva,harsheva,2022-05-01 17:22:00+03:00,2022-05-01,17:22:27,17
116,a,vlasovaoza,vlasovaoza,2022-05-07 10:40:00+03:00,2022-05-07,10:39:52,10
117,a,kostinaoz,kostinaoz,2022-05-04 16:02:00+03:00,2022-05-04,16:01:38,16
118,a,vlasovaoza,vlasovaoza,2022-05-12 17:33:00+03:00,2022-05-12,17:33:04,17
119,a,abdulaevoz,abdulaevoz,2022-05-02 14:14:00+03:00,2022-05-02,14:13:54,14
120,a,harsheva,harsheva,2022-05-06 19:03:00+03:00,2022-05-06,19:03:13,19
121,a,kostinaoz,kostinaoz,2022-04-27 15:05:00+03:00,2022-04-27,15:05:05,15
122,a,vlasovaoza,vlasovaoza,2022-05-04 14:46:00+03:00,2022-05-04,14:46:25,14
123,a,kostinaoz,kostinaoz,2022-05-06 15:30:00+03:00,2022-05-06,15:30:18,15
124,a,vlasovaoza,vlasovaoza,2022-05-08 09:47:00+03:00,2022-05-08,09:46:32,9
125,a,harsheva,harsheva,2022-04-28 16:06:00+03:00,2022-04-28,16:06:28,16
126,a,kostinaoz,kostinaoz,2022-04-27 16:03:00+03:00,2022-04-27,16:03:05,16
127,a,abdulaevoz,abdulaevoz,2022-05-07 17:46:00+03:00,2022-05-07,17:45:52,17
128,a,kostinaoz,kostinaoz,2022-04-27 16:42:00+03:00,2022-04-27,16:42:19,16
129,a,kostinaoz,kostinaoz,2022-05-16 13:44:00+03:00,2022-05-16,13:44:18,13
130,a,kostinaoz,kostinaoz,2022-05-02 19:50:00+03:00,2022-05-02,19:49:38,19
131,a,Elena_OP1,Elena_OP1,2022-04-29 13:51:00+03:00,2022-04-29,13:51:04,13
132,a,kostinaoz,kostinaoz,2022-05-11 19:29:00+03:00,2022-05-11,19:29:12,19
133,a,Rus,Rus,2022-05-04 16:21:00+03:00,2022-05-04,16:20:38,16
134,a,kostinaoz,kostinaoz,2022-05-05 12:29:00+03:00,2022-05-05,12:28:38,12
135,a,esina_ey,esina_ey,2022-05-13 13:56:00+03:00,2022-05-13,13:55:34,13
136,a,harsheva,harsheva,2022-04-28 14:02:00+03:00,2022-04-28,14:02:26,14
137,a,kostinaoz,kostinaoz,2022-05-06 15:40:00+03:00,2022-05-06,15:40:27,15
138,a,abdulaevoz,abdulaevoz,2022-05-10 14:29:00+03:00,2022-05-10,14:29:02,14
139,a,kostinaoz,kostinaoz,2022-05-06 20:55:00+03:00,2022-05-06,20:55:21,20
140,a,kostinaoz,kostinaoz,2022-05-12 11:21:00+03:00,2022-05-12,11:20:47,11
141,a,vlasovaoza,vlasovaoza,2022-05-04 17:23:00+03:00,2022-05-04,17:23:20,17
142,a,abdulaevoz,abdulaevoz,2022-05-14 11:40:00+03:00,2022-05-14,11:40:18,11
143,a,kostinaoz,kostinaoz,2022-05-04 19:45:00+03:00,2022-05-04,19:45:25,19
144,a,abdulaevoz,abdulaevoz,2022-05-16 17:15:00+03:00,2022-05-16,17:15:03,17
145,a,Elena_OP1,Elena_OP1,2022-05-17 16:06:00+03:00,2022-05-17,16:05:58,16
146,a,abdulaevoz,abdulaevoz,2022-04-29 10:04:00+03:00,2022-04-29,10:04:01,10
147,a,abdulaevoz,abdulaevoz,2022-04-27 13:59:00+03:00,2022-04-27,13:59:06,13
148,a,esina_ey,esina_ey,2022-05-06 10:44:00+03:00,2022-05-06,10:43:59,10
149,a,harsheva,harsheva,2022-04-27 16:40:00+03:00,2022-04-27,16:39:47,16
150,a,harsheva,harsheva,2022-04-27 16:20:00+03:00,2022-04-27,16:19:51,16
151,a,Rus,Rus,2022-05-04 15:56:00+03:00,2022-05-04,15:56:12,15
152,a,Rus,Rus,2022-05-04 15:41:00+03:00,2022-05-04,15:40:47,15
153,a,harsheva,harsheva,2022-05-18 10:23:00+03:00,2022-05-18,10:22:45,10
154,a,kostinaoz,kostinaoz,2022-05-06 14:08:00+03:00,2022-05-06,14:08:24,14
155,a,Rus,Rus,2022-05-04 11:32:00+03:00,2022-05-04,11:31:50,11
156,a,Rus,Rus,2022-05-04 11:21:00+03:00,2022-05-04,11:21:13,11
157,a,abdulaevoz,abdulaevoz,2022-04-27 13:26:00+03:00,2022-04-27,13:25:33,13
158,a,Rus,Rus,2022-05-06 13:02:00+03:00,2022-05-06,13:02:09,13
159,a,vekshina_v,vekshina_v,2022-04-28 12:32:00+03:00,2022-04-28,12:31:59,12
160,a,kostinaoz,kostinaoz,2022-05-16 09:02:00+03:00,2022-05-16,09:01:59,9
161,a,vlasovaoza,vlasovaoza,2022-05-04 20:01:00+03:00,2022-05-04,20:01:02,20
162,a,abdulaevoz,abdulaevoz,2022-05-07 16:59:00+03:00,2022-05-07,16:58:57,16
163,a,vlasovaoza,vlasovaoza,2022-04-29 10:45:00+03:00,2022-04-29,10:45:13,10
164,a,kostinaoz,kostinaoz,2022-05-10 09:53:00+03:00,2022-05-10,09:52:51,9
165,a,harsheva,harsheva,2022-05-06 11:13:00+03:00,2022-05-06,11:13:10,11
166,a,abdulaevoz,abdulaevoz,2022-05-03 17:26:00+03:00,2022-05-03,17:26:15,17
167,a,mas,mas,2022-05-04 16:42:00+03:00,2022-05-04,16:42:10,16
168,a,kostinaoz,kostinaoz,2022-05-04 16:42:00+03:00,2022-05-04,16:41:38,16
169,a,harsheva,harsheva,2022-04-28 09:17:00+03:00,2022-04-28,09:17:18,9
170,a,kostinaoz,kostinaoz,2022-04-29 19:02:00+03:00,2022-04-29,19:02:06,19
171,a,harsheva,harsheva,2022-05-05 11:44:00+03:00,2022-05-05,11:44:24,11
172,a,kostinaoz,kostinaoz,2022-05-13 12:36:00+03:00,2022-05-13,12:35:54,12
173,a,abdulaevoz,abdulaevoz,2022-05-02 14:40:00+03:00,2022-05-02,14:40:00,14
174,a,esina_ey,esina_ey,2022-05-06 12:56:00+03:00,2022-05-06,12:55:31,12
175,a,abdulaevoz,abdulaevoz,2022-05-11 15:53:00+03:00,2022-05-11,15:53:02,15
176,a,kostinaoz,kostinaoz,2022-04-29 18:30:00+03:00,2022-04-29,18:29:44,18
177,a,harsheva,harsheva,2022-05-01 09:02:00+03:00,2022-05-01,09:02:29,9
178,a,harsheva,harsheva,2022-05-06 15:40:00+03:00,2022-05-06,15:39:32,15
179,a,harsheva,harsheva,2022-05-05 15:37:00+03:00,2022-05-05,15:36:40,15
180,a,abdulaevoz,abdulaevoz,2022-04-30 11:20:00+03:00,2022-04-30,11:20:26,11
181,a,Rus,Rus,2022-05-04 16:24:00+03:00,2022-05-04,16:23:55,16
182,a,harsheva,harsheva,2022-05-05 17:48:00+03:00,2022-05-05,17:48:12,17
183,a,abdulaevoz,abdulaevoz,2022-05-07 17:43:00+03:00,2022-05-07,17:43:29,17
184,a,kostinaoz,kostinaoz,2022-04-30 18:59:00+03:00,2022-04-30,18:59:18,18
185,a,harsheva,harsheva,2022-05-01 20:22:00+03:00,2022-05-01,20:22:00,20
186,a,harsheva,harsheva,2022-04-28 14:52:00+03:00,2022-04-28,14:52:24,14
187,a,harsheva,harsheva,2022-05-06 11:43:00+03:00,2022-05-06,11:43:09,11
188,a,Elena_OP1,Elena_OP1,2022-04-29 11:43:00+03:00,2022-04-29,11:42:32,11
189,a,vlasovaoza,vlasovaoza,2022-05-04 11:13:00+03:00,2022-05-04,11:13:09,11
190,a,kostinaoz,kostinaoz,2022-05-11 20:56:00+03:00,2022-05-11,20:56:04,20
191,a,kostinaoz,kostinaoz,2022-05-06 11:46:00+03:00,2022-05-06,11:45:47,11
192,a,vlasovaoza,vlasovaoza,2022-04-30 15:04:00+03:00,2022-04-30,15:03:34,15
193,a,abdulaevoz,abdulaevoz,2022-04-28 17:54:00+03:00,2022-04-28,17:53:35,17
194,a,harsheva,harsheva,2022-05-01 20:10:00+03:00,2022-05-01,20:09:57,20
195,a,abdulaevoz,abdulaevoz,2022-05-03 18:03:00+03:00,2022-05-03,18:02:38,18
196,a,kostinaoz,kostinaoz,2022-05-13 14:33:00+03:00,2022-05-13,14:33:02,14
197,a,kostinaoz,kostinaoz,2022-05-07 12:34:00+03:00,2022-05-07,12:33:39,12
198,a,kostinaoz,kostinaoz,2022-05-06 14:03:00+03:00,2022-05-06,14:03:07,14
199,a,kostinaoz,kostinaoz,2022-05-09 10:19:00+03:00,2022-05-09,10:18:53,10
200,a,Rus,Rus,2022-05-04 12:09:00+03:00,2022-05-04,12:09:00,12
201,a,harsheva,harsheva,2022-05-17 11:10:00+03:00,2022-05-17,11:10:08,11
202,a,kostinaoz,kostinaoz,2022-05-06 11:27:00+03:00,2022-05-06,11:27:00,11
203,a,harsheva,harsheva,2022-05-05 17:00:00+03:00,2022-05-05,16:59:34,16
204,a,Elena_OP1,Elena_OP1,2022-05-04 10:14:00+03:00,2022-05-04,10:13:37,10
205,a,abdulaevoz,abdulaevoz,2022-04-29 11:11:00+03:00,2022-04-29,11:10:59,11
206,a,vlasovaoza,vlasovaoza,2022-04-29 19:35:00+03:00,2022-04-29,19:34:45,19
207,a,harsheva,harsheva,2022-05-05 14:59:00+03:00,2022-05-05,14:59:11,14
208,a,harsheva,harsheva,2022-05-05 17:05:00+03:00,2022-05-05,17:05:02,17
209,a,vlasovaoza,vlasovaoza,2022-05-04 18:45:00+03:00,2022-05-04,18:45:16,18
210,a,kostinaoz,kostinaoz,2022-05-11 19:50:00+03:00,2022-05-11,19:50:20,19
211,a,abdulaevoz,abdulaevoz,2022-05-02 11:54:00+03:00,2022-05-02,11:54:07,11
212,a,kostinaoz,kostinaoz,2022-05-11 19:06:00+03:00,2022-05-11,19:05:57,19
213,a,vlasovaoza,vlasovaoza,2022-05-03 20:31:00+03:00,2022-05-03,20:30:47,20
214,a,abdulaevoz,abdulaevoz,2022-05-02 17:09:00+03:00,2022-05-02,17:09:26,17
215,a,vlasovaoza,vlasovaoza,2022-05-03 11:46:00+03:00,2022-05-03,11:45:55,11
216,a,Rus,Rus,2022-05-04 14:17:00+03:00,2022-05-04,14:16:42,14
217,a,vlasovaoza,vlasovaoza,2022-05-07 14:55:00+03:00,2022-05-07,14:54:37,14
218,a,kostinaoz,kostinaoz,2022-04-30 21:00:00+03:00,2022-04-30,20:59:43,20
219,a,kostinaoz,kostinaoz,2022-05-04 09:11:00+03:00,2022-05-04,09:11:29,9
220,a,Kir,Kir,2022-05-04 14:58:00+03:00,2022-05-04,14:58:10,14
221,a,harsheva,harsheva,2022-05-01 11:13:00+03:00,2022-05-01,11:12:57,11
222,a,vlasovaoza,vlasovaoza,2022-04-30 17:58:00+03:00,2022-04-30,17:57:55,17
223,a,kostinaoz,kostinaoz,2022-05-13 12:02:00+03:00,2022-05-13,12:02:28,12
224,a,harsheva,harsheva,2022-05-06 09:52:00+03:00,2022-05-06,09:52:08,9
225,a,harsheva,harsheva,2022-05-01 17:20:00+03:00,2022-05-01,17:19:35,17
226,a,kostinaoz,kostinaoz,2022-04-27 15:40:00+03:00,2022-04-27,15:39:49,15
227,a,kostinaoz,kostinaoz,2022-05-17 11:30:00+03:00,2022-05-17,11:30:27,11
228,a,kostinaoz,kostinaoz,2022-05-04 19:21:00+03:00,2022-05-04,19:20:48,19
229,a,kostinaoz,kostinaoz,2022-05-05 11:48:00+03:00,2022-05-05,11:48:26,11
230,a,abzalov,abzalov,2022-05-05 21:22:00+03:00,2022-05-05,21:21:48,21
231,a,kostinaoz,kostinaoz,2022-05-08 09:25:00+03:00,2022-05-08,09:25:03,9
232,a,Elena_OP1,Elena_OP1,2022-05-13 10:15:00+03:00,2022-05-13,10:14:42,10
233,a,abdulaevoz,abdulaevoz,2022-05-10 12:02:00+03:00,2022-05-10,12:02:30,12
234,a,abdulaevoz,abdulaevoz,2022-05-02 15:29:00+03:00,2022-05-02,15:28:49,15
235,a,Elena_OP1,Elena_OP1,2022-04-28 15:08:00+03:00,2022-04-28,15:08:11,15
236,a,vlasovaoza,vlasovaoza,2022-05-04 19:32:00+03:00,2022-05-04,19:32:22,19
237,a,kostinaoz,kostinaoz,2022-05-04 16:38:00+03:00,2022-05-04,16:37:42,16
238,a,abdulaevoz,abdulaevoz,2022-05-03 17:23:00+03:00,2022-05-03,17:23:00,17
239,a,vlasovaoza,vlasovaoza,2022-05-03 14:46:00+03:00,2022-05-03,14:45:41,14
240,a,abdulaevoz,abdulaevoz,2022-05-03 10:24:00+03:00,2022-05-03,10:23:40,10
241,a,abdulaevoz,abdulaevoz,2022-04-28 10:31:00+03:00,2022-04-28,10:30:42,10
242,a,vlasovaoza,vlasovaoza,2022-04-30 14:07:00+03:00,2022-04-30,14:07:20,14
243,a,abdulaevoz,abdulaevoz,2022-05-18 11:30:00+03:00,2022-05-18,11:30:04,11
244,a,Elena_OP1,Elena_OP1,2022-05-18 10:46:00+03:00,2022-05-18,10:45:56,10
245,a,harsheva,harsheva,2022-04-28 18:21:00+03:00,2022-04-28,18:21:04,18
246,a,abdulaevoz,abdulaevoz,2022-05-07 17:51:00+03:00,2022-05-07,17:50:41,17
247,a,harsheva,harsheva,2022-04-28 17:33:00+03:00,2022-04-28,17:32:47,17
248,a,harsheva,harsheva,2022-05-05 18:20:00+03:00,2022-05-05,18:20:04,18
249,a,abdulaevoz,abdulaevoz,2022-05-11 13:12:00+03:00,2022-05-11,13:12:08,13
250,a,kostinaoz,kostinaoz,2022-05-07 09:38:00+03:00,2022-05-07,09:38:07,9
251,a,abdulaevoz,abdulaevoz,2022-04-27 15:05:00+03:00,2022-04-27,15:04:53,15
252,a,abdulaevoz,abdulaevoz,2022-05-16 12:23:00+03:00,2022-05-16,12:23:05,12
253,a,vlasovaoza,vlasovaoza,2022-05-04 12:35:00+03:00,2022-05-04,12:35:04,12
254,a,kostinaoz,kostinaoz,2022-04-30 10:27:00+03:00,2022-04-30,10:27:12,10
255,a,abdulaevoz,abdulaevoz,2022-05-04 09:44:00+03:00,2022-05-04,09:44:01,9
256,a,kostinaoz,kostinaoz,2022-05-12 09:20:00+03:00,2022-05-12,09:20:01,9
257,a,harsheva,harsheva,2022-05-06 10:50:00+03:00,2022-05-06,10:49:51,10
258,a,kostinaoz,kostinaoz,2022-04-28 09:19:00+03:00,2022-04-28,09:18:40,9
259,a,esina_ey,esina_ey,2022-04-29 12:38:00+03:00,2022-04-29,12:38:01,12
260,a,vlasovaoza,vlasovaoza,2022-05-04 13:46:00+03:00,2022-05-04,13:45:56,13
261,a,abdulaevoz,abdulaevoz,2022-05-03 18:40:00+03:00,2022-05-03,18:40:28,18
262,a,kostinaoz,kostinaoz,2022-05-06 11:01:00+03:00,2022-05-06,11:01:02,11
263,a,kostinaoz,kostinaoz,2022-05-11 18:51:00+03:00,2022-05-11,18:50:37,18
264,a,harsheva,harsheva,2022-05-06 10:28:00+03:00,2022-05-06,10:28:21,10
265,a,kostinaoz,kostinaoz,2022-05-08 20:16:00+03:00,2022-05-08,20:16:04,20
266,a,harsheva,harsheva,2022-05-02 10:43:00+03:00,2022-05-02,10:43:17,10
267,a,kostinaoz,kostinaoz,2022-05-07 12:09:00+03:00,2022-05-07,12:08:36,12
268,a,kostinaoz,kostinaoz,2022-05-06 10:34:00+03:00,2022-05-06,10:33:44,10
269,a,abdulaevoz,abdulaevoz,2022-05-08 12:06:00+03:00,2022-05-08,12:05:37,12
270,a,kostinaoz,kostinaoz,2022-05-08 09:45:00+03:00,2022-05-08,09:44:35,9
271,a,abdulaevoz,abdulaevoz,2022-05-03 17:35:00+03:00,2022-05-03,17:34:33,17
272,a,abdulaevoz,abdulaevoz,2022-04-28 15:09:00+03:00,2022-04-28,15:09:23,15
273,a,harsheva,harsheva,2022-04-27 15:58:00+03:00,2022-04-27,15:58:20,15
274,a,vlasovaoza,vlasovaoza,2022-05-11 20:49:00+03:00,2022-05-11,20:48:51,20
275,a,kostinaoz,kostinaoz,2022-05-11 15:18:00+03:00,2022-05-11,15:18:01,15
276,a,kostinaoz,kostinaoz,2022-05-07 20:56:00+03:00,2022-05-07,20:55:35,20
277,a,abdulaevoz,abdulaevoz,2022-04-30 12:27:00+03:00,2022-04-30,12:26:33,12
278,a,abdulaevoz,abdulaevoz,2022-05-06 15:16:00+03:00,2022-05-06,15:15:43,15
279,a,vlasovaoza,vlasovaoza,2022-04-29 11:04:00+03:00,2022-04-29,11:04:30,11
280,a,vlasovaoza,vlasovaoza,2022-05-03 19:52:00+03:00,2022-05-03,19:51:44,19
