num_frames,num_frames_avg,num_packets,num_packets_avg,num_packets_out_avg,num_packets_out_max,num_packets_out_min,num_packets_in_avg,num_packets_in_max,num_packets_in_min,weighted_num_packets_in_avg,weighted_num_packets_in_max,weighted_num_packets_in_min,frac_packets_in_out_avg,frac_packets_in_out_max,frac_packets_in_out_min,frac_packets_in_out_pan_avg,frac_packets_in_out_pan_max,frac_packets_in_out_pan_min,num_packets_equal_src_avg,num_packets_equal_src_max,num_packets_equal_src_min,num_packets_equal_src_pan_avg,num_packets_equal_src_pan_max,num_packets_equal_src_pan_min,num_packets_equal_dest_avg,num_packets_equal_dest_max,num_packets_equal_dest_min,num_packets_equal_dest_pan_avg,num_packets_equal_dest_pan_max,num_packets_equal_dest_pan_min,num_frames_out_avg,num_frames_out_max,num_frames_out_min,num_frames_in_avg,num_frames_in_max,num_frames_in_min,weighted_num_frames_in_avg,weighted_num_frames_in_max,weighted_num_frames_in_min,num_route_msgs,num_forwarded_packets,num_forwarded_packets_avg,num_forwarded_packets_max,num_forwarded_packets_min,num_packets_created_avg,num_packets_created_max,num_packets_created_min,frac_packets_created_acquired_avg,frac_packets_created_acquired_max,frac_packets_created_acquired_min,class
33392,2226,26241,1749,212,1696,52,211,1762,36,118.67,1331.0,319.33,0.27,1,0,0.47,1,0,63,76,45,377,382,373,63,81,43,377,409,344,269,2172,61,269,2245,44,150.96,1713.0,407.33,0,8644,576,1317,101,1,76,45,1.0,1,1,0
33014,2200,26282,1752,211,1689,44,212,1753,42,67.32,608.0,259.0,0.36,1,0,0.47,1,0,63,81,44,379,382,376,63,83,39,379,413,350,266,2137,52,266,2193,50,84.56,759.0,323.67,0,8607,574,1313,112,1,81,44,1.0,1,1,0
32762,2184,26028,1735,210,1718,43,210,1784,39,63.51,979.0,191.33,0.27,1,0,0.53,1,0,63,77,43,378,381,374,63,82,42,378,410,345,265,2181,52,265,2251,45,79.97,1243.0,233.0,0,8568,571,1341,111,1,77,43,1.0,1,1,0
33098,2206,26330,1755,212,1722,45,212,1759,34,99.2,1712.0,185.33,0.28,1,0,0.53,1,0,63,83,45,379,382,374,63,84,43,379,407,350,266,2163,56,266,2191,44,124.33,2155.0,232.67,0,8643,576,1340,94,1,83,45,1.0,1,1,0
32807,2187,26219,1747,212,1684,45,212,1708,34,94.87,1708.0,195.67,0.33,1,0,0.6,1,0,63,84,45,379,382,377,63,87,46,379,404,349,265,2123,55,265,2135,45,118.71,2135.0,238.33,0,8643,576,1303,107,1,84,45,1.0,1,1,0
32974,2198,26110,1740,211,1704,38,211,1810,40,81.44,1115.0,250.0,0.28,1,0,0.47,1,0,63,84,38,379,381,376,63,86,42,379,425,336,267,2164,52,266,2285,49,102.42,1405.0,307.0,0,8591,573,1324,115,1,84,38,1.0,1,1,0
32937,2195,26217,1747,212,1716,47,212,1776,39,102.2,1343.0,258.33,0.27,1,0,0.6,1,0,63,87,47,379,381,376,63,82,51,379,397,341,267,2158,54,266,2218,47,128.56,1659.0,325.67,0,8669,578,1338,105,1,87,47,1.0,1,1,0
32884,2192,26329,1755,211,1746,46,212,1830,30,108.95,1830.0,265.67,0.37,1,0,0.53,1,0,63,83,46,379,383,375,63,78,43,379,415,354,264,2193,53,265,2273,36,135.97,2273.0,334.0,0,8650,577,1367,116,1,83,46,1.0,1,1,0
32852,2190,26186,1745,212,1773,47,212,1797,37,95.18,1408.0,237.67,0.28,1,0,0.47,1,0,63,86,47,379,382,376,63,85,42,379,418,335,266,2213,58,266,2251,45,119.22,1767.0,306.0,0,8639,576,1396,109,1,86,47,1.0,1,1,0
32652,2176,26227,1748,213,1738,44,212,1804,35,82.9,1804.0,261.67,0.28,1,0,0.47,1,0,63,82,44,379,381,377,63,85,45,379,400,339,264,2168,54,264,2273,39,103.73,2273.0,324.0,0,8728,582,1360,102,1,82,44,1.0,1,1,0
32673,2178,26163,1744,211,1694,48,211,1762,37,102.52,1234.0,256.0,0.26,1,0,0.53,1,0,63,82,48,379,383,373,63,84,45,379,424,347,262,2139,54,263,2210,45,127.3,1496.0,323.33,0,8571,571,1313,110,1,82,48,1.0,1,1,0
32794,2186,26364,1757,212,1715,48,212,1776,37,108.25,1731.0,202.0,0.26,1,0,0.53,1,0,63,80,48,380,383,377,63,79,44,380,416,343,264,2125,61,264,2222,41,134.27,2177.0,253.67,0,8718,581,1334,116,1,80,48,1.0,1,1,0
33046,2203,26289,1752,212,1670,48,212,1741,38,83.28,998.0,261.0,0.31,1,0,0.47,1,0,63,82,48,379,383,376,63,82,45,379,411,356,267,2098,56,266,2192,43,104.59,1290.0,319.0,0,8644,576,1289,115,1,82,48,1.0,1,1,0
32731,2182,26481,1765,213,1745,47,213,1769,37,79.51,992.0,194.33,0.32,1,0,0.53,1,0,63,92,47,380,383,376,63,81,47,380,410,353,264,2138,55,264,2176,42,98.57,1236.0,235.67,0,8763,584,1368,109,1,92,47,1.0,1,1,0
33014,2200,26138,1742,211,1694,48,211,1772,39,91.79,1415.0,254.67,0.31,1,0,0.47,1,0,63,77,48,379,382,376,63,80,46,379,422,344,267,2148,62,267,2238,43,116.26,1797.0,311.67,0,8600,573,1317,121,1,77,48,1.0,1,1,0
33293,2219,26474,1764,213,1712,45,213,1763,38,89.65,1257.0,258.33,0.26,1,0,0.53,1,0,63,76,45,379,381,376,63,83,43,379,401,334,268,2165,50,268,2216,44,113.12,1590.0,327.33,0,8744,583,1331,128,1,76,45,1.0,1,1,0
33195,2213,26326,1755,212,1719,46,212,1784,39,111.49,1784.0,257.33,0.27,1,0,0.53,1,0,63,83,46,378,383,374,63,82,45,378,400,345,268,2155,64,267,2237,48,140.81,2237.0,325.0,0,8730,582,1340,114,1,83,46,1.0,1,1,0
33125,2208,26342,1756,213,1728,43,213,1758,32,107.86,1758.0,210.67,0.3,1,0,0.47,1,0,63,87,43,379,383,375,63,85,42,379,413,337,268,2174,55,268,2213,37,135.4,2213.0,270.0,0,8715,581,1349,122,1,87,43,1.0,1,1,0
32297,2153,26111,1740,211,1712,42,211,1752,32,92.87,1212.0,316.0,0.29,1,0,0.47,1,0,63,80,42,377,381,374,63,91,44,377,417,338,261,2097,52,261,2172,36,114.81,1466.0,385.67,0,8614,574,1334,95,1,80,42,1.0,1,1,0
32878,2191,26082,1738,212,1690,44,211,1716,29,109.57,1239.0,191.67,0.26,1,0,0.6,1,0,63,78,44,379,383,376,63,82,44,379,404,343,267,2154,52,266,2135,41,138.25,1549.0,244.33,0,8616,574,1311,127,1,78,44,1.0,1,1,0
33180,2212,26528,1768,213,1738,47,213,1775,40,97.39,1064.0,242.33,0.32,1,0,0.4,1,0,63,80,47,379,383,376,63,82,43,379,413,358,266,2169,57,266,2202,50,122.15,1349.0,307.33,0,8714,581,1361,106,1,80,47,1.0,1,1,0
32885,2192,26360,1757,212,1713,48,212,1786,39,100.19,1389.0,266.0,0.33,1,0,0.47,1,0,63,80,48,379,382,377,63,87,47,379,410,333,264,2126,55,265,2211,48,124.84,1726.0,341.33,0,8653,577,1335,127,1,80,48,1.0,1,1,0
32994,2199,26459,1763,213,1777,44,213,1799,33,84.33,1176.0,248.33,0.3,1,0,0.53,1,0,63,80,44,379,382,374,63,86,44,379,422,354,265,2207,58,266,2249,47,105.08,1471.0,318.0,0,8768,585,1400,106,1,80,44,1.0,1,1,0
33017,2201,26393,1759,213,1728,46,213,1810,38,110.19,1719.0,273.33,0.27,1,0,0.53,1,0,63,80,44,379,382,375,63,83,44,379,401,325,267,2167,56,266,2275,48,137.47,2169.0,344.5,0,8769,585,1346,115,1,80,44,1.0,1,1,0
32981,2198,26344,1756,212,1698,44,212,1750,34,98.01,1172.0,262.0,0.3,1,0,0.4,1,0,63,82,44,379,383,374,63,87,50,379,413,355,266,2126,51,266,2208,44,123.12,1456.0,330.5,0,8685,579,1320,114,1,82,44,1.0,1,1,0
32643,2176,26145,1743,211,1716,47,211,1765,38,110.21,1765.0,243.33,0.29,1,0,0.53,1,0,63,79,47,378,382,375,63,82,46,378,418,343,263,2166,56,263,2185,45,137.83,2185.0,293.67,0,8576,572,1339,110,0,79,47,1.0,1,1,0
32873,2191,26404,1760,213,1644,45,213,1729,31,96.4,1352.0,269.0,0.33,1,0,0.6,1,0,63,84,45,378,380,375,63,81,45,378,409,345,265,2057,58,265,2146,40,120.23,1699.0,333.0,0,8711,581,1267,103,0,84,45,1.0,1,1,0
32679,2178,26415,1761,213,1736,48,213,1807,34,103.84,1393.0,272.0,0.31,1,0,0.67,1,0,63,79,48,380,384,376,63,80,47,380,420,334,263,2163,54,264,2254,43,129.19,1754.0,349.0,0,8707,580,1360,110,0,79,48,1.0,1,1,0
32734,2182,26356,1757,212,1739,47,213,1792,36,68.88,755.0,254.0,0.32,1,0,0.6,1,0,63,80,47,380,384,377,63,79,45,380,399,339,264,2133,55,264,2200,42,85.22,918.0,303.5,0,8672,578,1355,102,0,80,47,1.0,1,1,0
32509,2167,26253,1750,212,1717,49,212,1798,37,85.09,1160.0,203.33,0.3,1,0,0.53,1,0,63,84,49,379,384,376,63,80,46,379,413,337,263,2111,57,262,2206,46,105.17,1431.0,253.67,0,8683,579,1339,108,0,84,49,1.0,1,1,0
32496,2166,26268,1751,212,1695,48,212,1769,36,78.69,972.0,267.33,0.3,1,0,0.6,1,0,63,79,48,380,384,377,63,81,43,380,423,333,262,2089,53,262,2180,44,96.94,1175.0,324.33,0,8641,576,1313,105,0,79,48,1.0,1,1,0
32666,2177,26202,1746,212,1730,45,212,1796,34,100.98,1155.0,244.0,0.27,1,0,0.4,1,0,63,78,45,379,382,377,63,82,47,379,409,356,265,2139,61,263,2217,44,125.86,1423.0,302.0,0,8660,577,1350,100,0,78,45,1.0,1,1,0
32784,2185,26212,1747,212,1693,45,212,1734,39,84.5,1265.0,283.5,0.29,1,0,0.33,1,0,63,84,45,379,382,374,63,79,45,379,408,346,265,2107,57,264,2159,45,105.73,1589.0,346.5,0,8615,574,1314,101,0,84,45,1.0,1,1,0
33512,2234,26608,1773,213,1761,45,214,1806,38,116.0,1806.0,295.0,0.33,1,0,0.67,1,0,63,81,45,380,384,376,63,80,46,380,413,344,268,2218,51,269,2280,44,145.93,2280.0,383.0,0,8791,586,1382,100,0,81,45,1.0,1,1,0
32557,2170,26117,1741,211,1699,47,211,1739,33,96.93,1298.0,244.33,0.32,1,0,0.53,1,0,63,86,47,379,386,377,63,88,40,379,414,346,263,2110,58,263,2151,40,121.26,1616.0,308.67,0,8631,575,1320,112,0,86,47,1.0,1,1,0
32914,2194,26386,1759,211,1679,44,212,1745,33,85.52,1161.0,200.67,0.37,1,0,0.53,1,0,63,87,44,379,383,376,63,80,45,379,417,335,263,2101,53,265,2198,39,107.03,1473.0,245.0,0,8604,574,1300,103,0,87,44,1.0,1,1,0
32545,2169,26359,1757,212,1670,46,212,1704,36,101.68,1704.0,196.0,0.32,1,0,0.4,1,0,63,86,46,379,386,375,63,84,47,379,432,344,263,2057,55,262,2132,40,125.49,2132.0,242.0,0,8652,577,1293,112,0,86,46,1.0,1,1,0
32748,2183,26303,1753,211,1766,44,212,1813,32,99.84,1150.0,328.67,0.29,1,0,0.6,1,0,63,77,44,378,380,375,63,82,45,378,403,349,262,2168,55,263,2236,38,124.47,1431.0,411.0,0,8640,576,1388,92,0,77,44,1.0,1,1,0
33103,2206,26405,1760,213,1725,46,213,1781,37,92.18,1149.0,274.67,0.26,1,0,0.53,1,0,63,84,46,380,382,376,63,84,45,380,425,355,266,2158,55,267,2220,45,115.69,1430.0,347.67,0,8768,585,1349,114,0,84,46,1.0,1,1,0
33131,2208,26634,1775,213,1768,45,214,1828,40,92.91,1145.0,296.67,0.36,1,0,0.6,1,0,63,82,45,380,384,375,63,82,48,380,399,361,265,2176,54,266,2241,50,115.91,1432.0,368.0,0,8749,583,1386,104,0,82,45,1.0,1,1,0
33267,2217,26412,1760,212,1704,48,212,1750,40,95.03,1704.0,209.33,0.3,1,0,0.4,1,0,63,91,48,379,382,374,63,85,43,379,412,360,267,2126,57,267,2170,47,119.54,2151.0,258.33,0,8662,577,1327,93,0,91,48,1.0,1,1,0
33311,2220,26450,1763,213,1738,44,213,1789,39,91.81,1290.0,262.67,0.28,1,0,0.47,1,0,63,80,44,379,383,376,63,87,43,379,393,358,268,2210,52,268,2279,46,115.43,1614.0,328.33,0,8765,584,1355,98,0,80,44,1.0,1,1,0
32974,2198,26265,1751,212,1755,46,212,1837,38,104.19,1837.0,257.0,0.34,1,0,0.47,1,0,63,80,46,378,384,372,63,77,49,378,419,343,265,2204,58,266,2304,46,130.77,2304.0,324.33,0,8688,579,1378,106,0,80,46,1.0,1,1,0
32549,2169,26241,1749,212,1743,47,212,1814,36,95.67,1703.0,265.5,0.31,1,0,0.6,1,0,63,86,47,378,382,376,63,87,43,378,417,343,263,2163,57,262,2236,43,118.96,2115.0,327.0,0,8658,577,1366,100,0,86,47,1.0,1,1,0
33479,2231,26438,1762,212,1713,49,212,1758,37,77.76,886.0,246.33,0.33,1,0,0.53,1,0,63,78,49,378,382,375,63,87,42,378,439,343,268,2169,61,269,2242,43,98.48,1114.0,307.33,0,8710,581,1332,112,0,78,49,1.0,1,1,0
33026,2201,26449,1763,212,1726,45,213,1744,33,91.19,1359.0,199.67,0.31,1,0,0.53,1,0,63,77,45,379,382,376,63,82,44,379,405,345,266,2161,58,266,2197,40,113.82,1717.0,240.33,0,8701,580,1346,114,0,77,45,1.0,1,1,0
33070,2204,26313,1754,213,1758,49,212,1821,37,91.37,1425.0,213.67,0.27,1,0,0.53,1,0,63,80,49,380,383,376,63,81,43,380,421,334,267,2229,54,267,2317,46,114.53,1789.0,262.0,0,8694,580,1376,107,0,80,49,1.0,1,1,0
32897,2193,26286,1752,212,1700,49,212,1718,35,76.24,1213.0,264.67,0.29,1,0,0.6,1,0,63,78,47,378,383,373,63,80,45,378,410,349,265,2144,55,265,2179,42,95.36,1533.0,329.33,0,8625,575,1324,108,0,78,47,1.0,1,1,0
32459,2163,26183,1745,211,1694,49,211,1736,34,88.78,1417.0,266.0,0.31,1,0,0.47,1,0,63,79,49,378,381,373,63,90,45,378,415,340,261,2127,63,262,2163,42,109.8,1752.0,326.0,0,8619,575,1319,117,0,79,49,1.0,1,1,0
33164,2210,26308,1753,212,1656,47,212,1753,37,95.87,1753.0,210.33,0.26,1,0,0.4,1,0,63,78,47,380,386,374,63,86,43,380,418,351,266,2099,60,267,2198,42,120.16,2198.0,268.0,0,8673,578,1277,115,0,78,47,1.0,1,1,0
33214,2214,26362,1757,212,1735,50,212,1800,36,79.55,1177.0,191.0,0.3,1,0,0.6,1,0,63,80,50,379,382,374,63,90,44,379,407,337,267,2161,60,267,2268,44,100.03,1495.0,228.67,0,8669,578,1355,106,0,80,50,1.0,1,1,0
32453,2163,25974,1731,210,1658,43,210,1692,37,91.67,1671.0,274.0,0.33,1,0,0.47,1,0,63,78,43,378,382,372,63,86,45,378,431,358,263,2112,52,262,2121,44,114.19,2055.0,341.67,0,8552,570,1279,105,0,78,43,1.0,1,1,0
32516,2167,26142,1742,211,1686,45,211,1763,37,81.24,1219.0,216.0,0.31,1,0,0.47,1,0,63,80,45,379,385,375,63,83,47,379,412,344,262,2076,56,263,2164,46,101.02,1506.0,274.33,0,8566,571,1306,108,0,80,45,1.0,1,1,0
32634,2175,26328,1755,212,1755,39,213,1798,40,107.28,1798.0,272.67,0.29,1,0,0.47,1,0,63,80,39,379,383,374,63,77,48,379,407,353,264,2193,49,264,2249,47,133.27,2249.0,340.33,0,8707,580,1377,115,0,80,39,1.0,1,1,0
32906,2193,26623,1774,215,1776,46,214,1840,37,104.35,1716.0,244.33,0.31,1,0,0.47,1,0,63,82,46,379,384,375,63,82,37,379,411,345,265,2176,58,264,2254,45,129.21,2128.0,292.0,0,8881,592,1395,112,0,82,46,1.0,1,1,0
32738,2182,26372,1758,213,1758,45,212,1815,33,83.79,1102.0,261.5,0.32,1,0,0.6,1,0,63,81,45,379,387,376,63,85,38,379,414,323,264,2195,59,264,2278,39,104.03,1385.0,322.5,0,8688,579,1376,83,0,81,45,1.0,1,1,0
32800,2186,26343,1756,212,1699,46,212,1704,30,89.04,1294.0,248.67,0.34,1,0,0.47,1,0,63,82,46,379,382,375,63,91,46,379,443,333,264,2128,57,264,2135,37,110.65,1629.0,310.67,0,8659,577,1322,90,0,82,46,1.0,1,1,0
32333,2155,26077,1738,211,1723,45,211,1760,35,101.97,1760.0,279.33,0.3,1,0,0.47,1,0,63,81,45,378,382,374,63,81,41,378,419,343,262,2136,61,262,2180,45,126.4,2180.0,349.0,0,8580,572,1341,108,0,81,45,1.0,1,1,0
32948,2196,26253,1750,211,1711,47,212,1756,35,85.17,999.0,203.33,0.3,1,0,0.53,1,0,63,78,47,379,382,375,63,83,43,379,406,355,265,2126,50,266,2183,44,106.87,1240.0,260.0,0,8608,574,1334,95,0,78,47,1.0,1,1,0
33216,2214,26519,1767,214,1741,46,213,1763,35,91.33,1676.0,189.33,0.26,1,0,0.6,1,0,63,80,46,380,384,375,63,88,46,380,410,350,269,2153,55,268,2176,40,114.42,2074.0,240.33,0,8773,585,1360,111,0,80,46,1.0,1,1,0
33293,2219,26435,1762,214,1724,52,213,1787,36,78.06,775.0,291.0,0.26,1,0,0.4,1,0,63,81,52,379,383,374,63,83,41,379,408,344,269,2172,63,269,2265,39,97.88,955.0,365.67,0,8766,584,1350,96,0,81,52,1.0,1,1,0
32654,2176,26203,1746,212,1742,44,212,1805,38,112.68,1243.0,315.33,0.31,1,0,0.6,1,0,63,84,44,379,380,376,63,87,41,379,408,343,263,2167,56,263,2255,48,140.35,1568.0,390.33,0,8638,576,1365,101,0,84,44,1.0,1,1,0
32895,2193,26436,1762,213,1715,49,213,1779,35,108.95,1675.0,284.0,0.31,1,0,0.47,1,0,63,79,45,380,383,376,63,81,44,380,399,357,266,2144,57,265,2204,42,135.66,2102.0,360.33,0,8684,579,1333,107,0,79,45,1.0,1,1,0
33168,2211,26392,1759,213,1728,50,213,1792,35,122.74,1780.0,265.67,0.32,1,0,0.53,1,0,63,83,50,380,383,377,63,83,42,380,406,336,267,2176,60,267,2278,39,153.69,2220.0,334.67,0,8732,582,1349,99,0,83,50,1.0,1,1,0
32841,2189,26331,1755,213,1671,41,212,1718,40,75.17,1018.0,199.33,0.3,1,0,0.47,1,0,63,82,41,378,382,375,63,88,49,378,407,343,266,2082,47,265,2167,47,93.87,1294.0,247.67,0,8753,584,1292,99,0,82,41,1.0,1,1,0
33101,2206,26326,1755,212,1698,41,212,1717,39,89.09,1332.0,210.0,0.34,1,0,0.47,1,0,63,84,41,379,383,374,63,82,45,379,415,336,267,2153,56,267,2180,46,111.92,1679.0,266.67,0,8700,580,1315,106,0,84,41,1.0,1,1,0
32677,2178,26325,1755,212,1651,45,212,1709,38,104.24,1709.0,260.67,0.28,1,0,0.53,1,0,63,77,45,379,382,377,63,78,44,379,419,342,264,2052,52,264,2108,46,129.5,2108.0,327.33,0,8693,580,1272,103,0,77,45,1.0,1,1,0
32687,2179,26453,1763,214,1741,49,213,1791,35,98.05,1791.0,187.0,0.29,1,0,0.47,1,0,63,88,49,379,383,377,63,80,48,379,401,348,264,2163,53,264,2244,43,121.38,2244.0,226.67,0,8818,588,1362,113,0,88,49,1.0,1,1,0
36292,2419,29869,1991,211,1668,27,257,2166,36,99.17,2086.0,297.0,0.32,2,0,1.0,1,1,63,85,27,378,401,202,63,429,39,378,738,314,263,2077,36,308,2581,41,117.74,2469.0,345.67,4858,8383,559,1222,105,67,145,27,0.34,2,0,1
31649,2109,25143,1676,205,1578,31,203,1604,35,97.58,1604.0,245.67,0.31,2,0,0.2,1,0,63,89,27,379,404,203,63,437,43,379,712,329,258,1986,39,256,2047,47,122.88,2047.0,308.33,0,8346,556,1202,105,31,88,27,0.17,1,0,1
31867,2124,25278,1685,206,1580,29,204,1595,34,104.98,1595.0,257.67,0.27,1,0,0.13,1,0,63,86,29,379,398,203,63,441,39,379,769,320,260,1974,35,257,2008,36,132.34,2008.0,329.33,0,8433,562,1196,119,20,84,29,0.13,1,0,1
31345,2089,25244,1682,206,1583,24,204,1615,33,105.25,1615.0,256.33,0.3,2,0,0.13,1,0,63,79,24,379,401,201,63,448,40,379,724,322,256,1976,29,253,1997,36,130.75,1997.0,310.0,0,8449,563,1207,110,15,77,24,0.19,1,0,1
31296,2086,25107,1673,205,1607,25,203,1598,31,82.31,1598.0,189.0,0.27,2,0,0.27,1,0,63,84,25,378,399,198,63,429,32,378,725,321,256,1992,29,253,1984,35,102.38,1984.0,234.0,0,8384,559,1225,104,12,80,25,0.16,1,0,1
31386,2092,25061,1670,204,1577,25,203,1613,36,99.29,1583.0,261.67,0.3,2,0,0.2,1,0,63,90,25,379,399,207,63,430,47,379,708,326,256,1961,33,254,2012,42,124.72,1990.0,323.33,0,8322,555,1200,111,10,88,25,0.22,1,0,1
31467,2097,25178,1678,206,1629,23,204,1610,32,83.27,1029.0,276.33,0.26,2,0,0.13,1,0,63,84,23,378,397,198,63,431,42,378,729,323,258,1983,31,255,1984,40,104.31,1296.0,338.67,0,8512,567,1250,104,9,82,23,0.17,1,0,1
31644,2109,25286,1685,206,1593,25,204,1638,31,66.95,762.0,171.67,0.31,2,0,0.13,1,0,63,82,25,379,396,201,63,435,45,379,709,312,257,1990,32,255,2067,39,84.05,960.0,214.67,0,8483,566,1215,117,8,78,25,0.14,1,0,1
31720,2114,25551,1703,207,1565,23,206,1584,34,89.52,1580.0,285.33,0.26,2,0,0.2,1,0,63,83,23,380,403,202,63,430,43,380,723,322,256,1971,26,255,1974,44,111.13,1974.0,352.0,0,8511,567,1187,126,7,82,23,0.17,1,0,1
31613,2107,25238,1682,206,1594,27,204,1628,33,85.95,993.0,176.33,0.28,2,0,0.27,1,0,63,80,27,379,395,206,63,449,42,379,746,321,258,2010,35,255,2028,37,107.81,1255.0,217.0,0,8444,563,1219,111,6,79,27,0.12,1,0,1
